C perl 5.28.1 5.28.1
P PPIx-Regexp 0.54.1 0.054_01
P PPIx-Utilities 1.1.0 1.001000
P PPM-Repositories 0.20 0.20
P Readonly 2.5 2.05
P Role-Tiny 2.0.0.6 2.000006
P Scalar-List-Utils 1.49 1.49
P Scope-Guard 0.21 0.21
P SelfLoader 1.24 1.24
P Set-Infinite 0.65 0.65
P Shell-Command 0.6 0.06
P Socket 2.27 2.027
P Specio 0.42 0.42
P SQL-Statement 1.41.2 1.412
P Sub-Exporter 0.987 0.987
P Sub-Exporter-Progressive 0.1.13 0.001013
P Sub-Identify 0.14 0.14
P Sub-Info 0.2 0.002
P Sub-Install 0.928 0.928
P Sub-Name 0.21 0.21
P Sub-Quote 2.0.40.0 2.004000
P Sub-Uplevel 0.28.0 0.2800
P Task-Weaken 1.5 1.05
P Tcl 1.2 1.02
P Term-ReadLine-Perl 1.3.3.1 1.0303
P Term-Table 0.12 0.012
P TermReadKey 2.37 2.37
P Test-Deep 1.127 1.127
P Test-Differences 0.64 0.64
P Test-Exception 0.43 0.43
P Test-Fatal 0.14 0.014
P Test-File 1.443 1.443
P Test-Harness 3.39 3.39
P Test-MockTime 0.15 0.15
P Test-Simple 1.30.21.22 1.302122
P Test-Warn 0.32 0.32
P Test2-Suite 0.97 0.000097
P Text-Autoformat 1.74 1.74
P Text-CSV_XS 1.34 1.34
P Text-Diff 1.45 1.45
P Text-Glob 0.11 0.11
P Text-Reform 1.20 1.20
P threads 2.21 2.21
P threads-shared 1.58 1.58
P Time-HiRes 1.97.53 1.9753
P Time-Piece 1.3203 1.3203
P tkkit 1.2 1.2
P Tkx 1.9 1.09
P Try-Tiny 0.30 0.30
P Unicode-Collate 1.25 1.25
P URI 1.73 1.73
P Variable-Magic 0.62 0.62
P version 0.9923 0.9923
P Version-Requirements 0.10.10.23 0.101023
P WWW-Mechanize 1.86 1.86
P WWW-RobotRules 6.2 6.02
P XML-Parser 2.44.0.1 2.44
P XML-Simple 2.24 2.24
P YAML-LibYAML 0.69 0.69
P zlib 1.2.11 1.2.11
